Zuri	Female	Hibernation	SRR30750251
Willow	Female	Hibernation	SRR30750252
Kio	Female	Hibernation	SRR30750253
John	Male	Hibernation	SRR30750254
Dodge	Male	Hibernation	SRR30750255
Adak	Male	Hibernation	SRR30750256
Zuri	Female	Active	SRR30750258
Willow	Female	Active	SRR30750259
Kio	Female	Active	SR30750260
Dodge	Male	Active	SRR30750262
Adak	Male	Active	SRR30750263
